first_name,last_name,hire_date,region
Estevan,Ethridge,8/25/2017,THOMASVILLE
Flo,Melloi,2/22/2006,BELOIT
Marga,Spreag,6/20/2019,Warszawa
Dannie,Panting,1/17/2017,MUSCATINE
Claudine,Giddy,10/12/2024,LAS ANIMAS
Brenda,Westberg,11/3/2004,HAZELWOOD
Burk,Jime,8/12/2013,Remscheid
Christie,Youd,7/23/2021,Lüchow (Wendland)
Wittie,Remirez,11/22/2011,BATESVILLE
Janeczka,Cresser,4/7/2025,Carlow
Peter,Ridolfo,8/1/2012,SUGAR LAND
Nellie,Cleeve,11/29/2001,PRATO ALLO STELVIO-PRAD AM STI
Pammie,Maleney,3/21/2012,N. CHAS
Lindie,Reck,12/12/2024,Budenheim b Mainz
Amaleta,Grove,4/11/2009,Cavan
Romeo,Earp,4/30/2008,PITTSBURGH
Charita,Clute,1/5/2006,READING
Shannon,Kuhnert,9/15/2025,Heidenheim an der Brenz
Abran,Geldeard,7/18/2019,CLUJ-NAPOCA
Lefty,Mardy,10/26/2007,Erfurt
